tyyp;title;total;live;od;web;app
S;Eurovisiooni lauluvõistlus 2026;10647;6006;5660;8332;2315
S;Aktuaalne kaamera;4502;2198;2506;3951;551
S;Hommik Anuga;3284;1297;2130;2889;395
S;See ei ole mõrvamüsteerium;1530;1066;492;1287;243
S;Prillitoos;1383;992;430;1273;110
S;Hercule Poirot;1863;411;1470;1270;593
S;Sport;1217;1047;187;1107;110
S;Ukraina stuudio;1184;712;493;1097;87
S;Õnne 13;1176;11;1165;952;224
S;Tippvormi(s);986;927;66;948;38
S;Terevisioon;973;11;961;931;42
S;La Promesa;1052;21;1030;862;190
S;Tuled kodusadamas;901;497;414;772;129
S;Maailm ja mõnda;825;642;203;768;57
S;Maahommik;945;366;579;751;194
S;Õde Boniface'i mõistatused;793;710;98;744;49
S;Grace;948;0;948;678;270
S;Milderid Marokos;765;435;351;640;125
S;Jalgpalli Premium Liiga;670;417;268;640;30
S;Pealtnägija;634;18;615;474;160
S;Ringvaade;521;22;499;453;68
S;Kuld;818;62;756;426;392
S;Mõrvad põhjas;719;0;719;415;304
S;Argentina, äärmuste maa;586;238;356;415;171
S;Öine rong;438;0;438;381;57
S;ENSV;502;0;502;377;125
S;Archie;488;0;488;374;114
S;Estraadisangarid;371;304;77;329;42
S;Jana - igaveseks märgitud;555;0;555;304;251
S;Müstiline Venemaa;291;7;284;291;0
S;Osoon;334;143;192;266;68
S;Ohtlik lend;366;0;366;260;106
S;Südameasi;327;17;310;232;95
S;Professor T.;387;0;387;201;186
S;Kuninglik skandaal;251;3;247;194;57
S;Käbi ei kuku...;183;7;176;183;0
S;Eesti Laul 2026;153;132;21;149;4
S;Samost ja Aaspõllu;153;10;143;145;8
S;Parlament;169;0;169;135;34
S;Õhinapõhised;169;0;169;131;38
S;Betty diagnoosid;163;3;159;125;38
S;Litvinenko;174;0;174;121;53
S;Rahva oma kaitse;118;0;118;118;0
S;31. jaoskond;171;0;171;114;57
S;Marie Antoinette;149;14;135;111;38
S;Esimene stuudio;115;0;115;111;4
S;Kadunud;198;0;198;111;87
S;Lühhike öppetus Eesti kultuurist;187;0;187;107;80
S;"Järjejutt. Jari Järvelä ""Mozzarellakuu""";107;0;107;107;0
S;Eesti laul;244;233;18;107;137
S;OP;123;4;119;104;19
S;Kõik patud;153;0;153;100;53
S;Vaikimiskoodeks;150;3;146;97;53
S;David Attenborough' värvide maailm;158;0;158;90;68
S;Dalgliesh;155;7;152;90;65
S;Tuulepealne maa;94;0;94;83;11
S;Vestlused sõpradega;102;0;102;83;19
S;Stanley Tucci avastamas Itaaliat;159;36;123;83;76
S;Kah mul sugulased;106;0;106;83;23
S;Kuula rändajat;80;3;76;80;0
S;Elu allpool nulli;114;42;72;80;34
S;Impulss;106;0;106;76;30
S;Rahva teenrid;76;0;76;76;0
S;Surm paradiisis;137;0;137;76;61
S;Ridley;99;0;99;76;23
S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;130;0;130;73;57
S;Kunagi pole liiga hilja;88;0;88;73;15
S;Salaopakad;81;45;36;73;8
S;?????????? ??????;149;108;45;69;80
S;Mina ja Miia;118;69;49;69;49
S;Muutuv planeet;89;0;89;66;23
S;Eesti lood;77;0;77;66;11
S;Plekktrumm;70;0;70;62;8
S;Eurovisiooni laulud 2026 (eesti viipekeeles);96;0;96;62;34
S;Reykjavíki fusioon;119;0;119;62;57
S;Sherlock Holmesi lood;59;0;59;59;0
S;Ivalo;78;0;78;59;19
S;Kadumiste kolmnurk;74;0;74;59;15
S;"Järjejutt. Dale Carnegie ""Kuidas võita sõpru ja mõjustada inimesi""";55;0;55;55;0
S;Põrsas Peppa;789;17;772;55;734
S;OP lood;56;52;3;52;4
S;Hercule Poirot' lood;48;0;48;48;0
S;Mullist välja;59;0;59;48;11
S;Von Fock;52;0;52;48;4
S;Pulss;56;0;56;48;8
S;Eesti lugu;48;0;48;48;0
S;?????;82;75;7;48;34
S;Tšornobõli katastroof;64;0;64;45;19
S;Unistuste maja;53;0;53;45;8
S;Nullpunkt;45;0;45;45;0
S;Ühe pere muusika;46;11;35;42;4
S;Eesti (täielik ja kontrollitud) ajalugu;50;0;50;42;8
S;Truu naine;65;0;65;42;23
S;Nicolas le Floch;76;0;76;38;38
S;Eurovisiooni laulud;39;0;39;35;4
S;Reetur;43;0;43;35;8
S;Aktuaalne kaamera (viipekeeles);35;17;17;35;0
S;Mnemoturniir;35;3;31;35;0
S;Unustamatu;46;0;46;35;11
S;Elu võimalikkusest maal;31;0;31;31;0
S;Wikmani poisid;35;0;35;31;4
S;Veider Kamp;347;17;330;31;316
S;Nolly;35;0;35;31;4
S;?????? ?? ????;58;51;7;31;27
S;?????? ?????? ? ??????? ?????????????? ??????;69;69;0;31;38
S;Martin Clunesiga Atlandi ookeani saartel;65;0;65;31;34
S;?`???????? ? ??? ?????????;39;36;3;31;8
S;Välisilm;35;0;35;31;4
S;Müür;31;0;31;31;0
S;Reispass;31;0;31;31;0
S;4x4;39;0;39;31;8
S;Lammas Shaun;115;21;94;28;87
S;Järjejutt. Jojo Moyes ''Kui kõik kokku liita'';28;0;28;28;0
S;Vanad ja kobedad;28;0;28;28;0
S;Õhukesel jääl. Putin ja Greenpeace;39;0;39;28;11
S;Veetee;51;0;51;28;23
S;Kultuuristuudio. Kirjandusministri juures;28;0;28;28;0
S;Elukaaslased;32;0;32;28;4
S;"Järjejutt. Eet Tuule ""Kimalased Piksekivil""";24;0;24;24;0
S;Eurolaul / Eesti laul;39;0;39;24;15
S;NOVA;32;0;32;24;8
S;Kajalood;24;0;24;24;0
S;Kes tappis Otto Mülleri?;24;0;24;24;0
S;Kuniks ma luban sul elada;24;0;24;24;0
S;Planeet Maa III;39;0;39;24;15
S;muusikavideod ETV2;24;17;7;24;0
S;Hommikumaa vägevad;24;0;24;24;0
S;Varastatud lootus: Armukelm;35;0;35;24;11
S;Heli nälg;24;3;21;24;0
S;Isa Browni lood;24;0;24;24;0
S;Renessanss: veri ja ilu;29;0;29;21;8
S;?????? ???????. ????????? ???????;29;21;11;21;8
S;Putini salarelvad;21;0;21;21;0
S;Eesti mäng;25;0;25;21;4
S;Heureka;21;0;21;21;0
S;??????;36;32;4;21;15
S;Üks lugu;29;0;29;21;8
S;Loetud ja kirjutatud;21;0;21;21;0
S;Vera;51;0;51;21;30
S;Skandinaavia;44;7;36;21;23
S;Vanaaja seitse maailmaimet;25;0;25;21;4
S;PANK;25;0;25;21;4
S;Vürtside võlumaailm;25;0;25;21;4
S;Riigimehed;25;0;25;21;4
S;Shetland;29;0;29;21;8
S;Õhtujutt;21;3;17;21;0
S;Jälg;21;0;21;21;0
S;Rakett 69;51;0;51;21;30
S;Reisile minuga;32;4;29;21;11
S;Joanna Lumley Indias;21;0;21;17;4
S;Hiirelõks kassile;17;0;17;17;0
S;Ellis;36;0;36;17;19
S;Midsomeri mõrvad;28;0;28;17;11
S;Psühho;25;0;25;17;8
S;"Järjejutt. Ain Kütt ""Kolme kaardi mõistatus""";17;0;17;17;0
S;Ajalugu viie minutiga;21;0;21;17;4
S;Ükskord laupäeval;32;0;32;17;15
S;Huvitaja;21;0;21;17;4
S;Tuta asjad;230;11;223;17;213
S;Laskesuusatamise MK etapid;17;0;17;17;0
S;Floor paneb reeglid paika!;237;17;220;17;220
S;Adam Richman sööb nagu jalkafänn;25;0;25;17;8
S;Keelesaade;17;3;14;17;0
S;Kaadris;17;0;17;17;0
S;Numbriklotsid;349;10;338;14;335
S;Eesti aja lood;14;0;14;14;0
S;Miks mitte?!;14;0;14;14;0
S;???? ???????. ???? ???-???????: ????? ? ???????;14;14;0;14;0
S;Atentaat;29;0;29;14;15
S;Ühe minuti filmid 2025 - Loovus vs Loodus;25;0;25;14;11
S;Vegesaurused;79;7;72;14;65
S;Ühe maja lugu;18;0;18;14;4
S;So Long, Marianne;18;0;18;14;4
S;Tegus Timmu;52;7;45;14;38
S;"Järjejutt. Ain Kütt ""Risti soldati mõistatus. Sagadi paruni mõrvalood""";14;0;14;14;0
S;Reedene intervjuu;14;0;14;14;0
S;Otse uudistemajast;14;0;14;14;0
S;Sina ja mina;22;0;22;14;8
S;Nota bene! Teatriluulud;29;0;29;14;15
S;Miss Marple'i lood;33;0;33;14;19
S;Nukuvalitsus;14;0;14;14;0
S;Jane Eyre;10;0;10;10;0
S;Kito, Maaja ja jutulaegas;128;7;121;10;118
S;Tants aurukatla ümber;18;0;18;10;8
S;Reporteritund;10;0;10;10;0
S;Nõnda ka maa peal;10;0;10;10;0
S;"Järjejutt. Ilmar Aruoja ""Papa jutud. Isa Taks""";10;0;10;10;0
S;R2 Minilaiv;10;0;10;10;0
S;"Järjejutt. Kristi Küppar ""Viimane lusikas""";10;0;10;10;0
S;Zoja;14;0;14;10;4
S;"Järjejutt. Andrus Kivirähk ""Rehepapp""";10;0;10;10;0
S;Teatrietendus. Mees, naine ja kontsert;10;0;10;10;0
S;Aasta planeedil Maa;21;0;21;10;11
S;18-aastane oligarh;10;0;10;10;0
S;Harald ja Sonja;18;0;18;10;8
S;Eesti Laul 2026. Etteasted ja muusikavideod;10;0;10;10;0
S;"Järjejutt. Karl Ristikivi ""Imede saar""";10;0;10;10;0
S;Harri Tiido taustajutud;10;0;10;10;0
S;? ??????!;14;10;4;10;4
S;Erinnüsed;14;0;14;10;4
S;Dünastiad;25;0;25;10;15
S;Pühapäevalõuna;10;0;10;10;0
S;Ajavaod;10;0;10;10;0
S;Järjejutt;10;0;10;10;0
S;Vikerhommik;10;7;3;10;0
S;Luise ja Oliver;143;10;133;10;133
S;Välistund;10;0;10;10;0
S;Lucas;67;10;57;10;57
S;Uued õed;10;0;10;10;0
S;Naisspioonid II maailmasõjas;14;0;14;10;4
S;Öökapi raamat;10;0;10;10;0
S;"XXVIII laulu- ja XXI tantsupidu ""Iseoma""";14;0;14;10;4
S;Uudis+;10;0;10;10;0
S;Anna ja sõbrad;29;10;19;10;19
S;ehh, uhhuduur;18;0;18;10;8
S;Hei, Kutsa!;192;0;192;10;182
S;"Järjejutt. George Orwell ""1984""";10;0;10;10;0
S;Päevatee;10;0;10;10;0
S;Jäine planeet II;18;0;18;10;8
S;Põlev maa;14;0;14;10;4
S;Sherwood;18;0;18;10;8
S;Maailma kõige targem rahvas;10;0;10;10;0
S;Klass: elu pärast;10;0;10;10;0
S;Hajameelselt abielus;10;0;10;10;0
S;????? ??????? ???????????;14;14;0;10;4
S;Eesti filmi- ja teleauhinnad;10;0;10;10;0
S;Karumõmm Pups;21;7;14;10;11
S;Major Skovoroda;10;0;10;10;0
S;"Järjejutt. Mihkel Mutt ""Pingviin ja raisakass""";10;0;10;10;0
S;Doktor Nadežda;7;0;7;7;0
S;Iseolemine;7;0;7;7;0
S;Topeltpanused;7;0;7;7;0
S;"Järjejutt. Fred Jüssi ""Reisikirju""";7;0;7;7;0
S;Puu, mis varjutab metsa;15;0;15;7;8
S;"Järjejutt. Viivi Luik ""Varjuteater""";7;0;7;7;0
S;"Andrus Kivirähk ""Lotte reis lõunamaale""";7;0;7;7;0
S;Bettany Hughesi suur reisituur: Pariisist Rooma;11;0;11;7;4
S;Võimla;7;0;7;7;0
S;"Järjejutt. Bill Bryson ""Jalutuskäik metsas""";7;0;7;7;0
S;"Järjejutt. P. D. James ""Mõrvamõtted""";7;0;7;7;0
S;"Järjejutt. Urmas Vadi ""Kuu teine pool""";7;0;7;7;0
S;Salme viikingid;11;0;11;7;4
S;Eesti teatri auhinnad 2026;11;0;11;7;4
S;Eesti Laul 2024;7;0;7;7;0
S;Mädaõunad;7;0;7;7;0
S;Andrus Kivirähk. Kuuldemängud;7;0;7;7;0
S;Minu meri;7;0;7;7;0
S;Sherlock;30;0;30;7;23
S;Palgamõrvar;7;0;7;7;0
S;Süü;7;0;7;7;0
S;Queen of F*cking Everything;7;0;7;7;0
