tyyp;title;total;live;od;web;app
S;Eurovisiooni lauluvõistlus 2026;27241;17873;12863;21650;5591
S;Aktuaalne kaamera;19133;10718;10703;16648;2485
S;Pealtnägija;13586;3094;10934;11670;1916
S;La Promesa;14241;3088;11570;11601;2640
S;Ringvaade;12243;7139;6265;10975;1268
S;Terevisioon;11921;6074;6689;10860;1061
S;Esimene stuudio;6357;5157;1547;5580;777
S;Sport;6033;5570;602;5256;777
S;Õnne 13;5067;2579;2744;4446;621
S;Hommik Anuga;4891;1956;3193;4399;492
S;Impulss;4586;2302;2446;3913;673
S;Hercule Poirot;5113;327;4810;3612;1501
S;Kuld;4838;1447;3577;3311;1527
S;Betty diagnoosid;2878;1773;1174;2593;285
S;Maahommik;2964;1421;1612;2524;440
S;Prillitoos;2628;1716;958;2524;104
S;Tuled kodusadamas;2866;1699;1191;2478;388
S;Jana - igaveseks märgitud;3515;0;3515;2454;1061
S;Osoon;2845;1550;1342;2431;414
S;Välisilm;2343;1521;891;2084;259
S;Südameasi;2279;1279;1139;1968;311
S;OP;2054;1230;870;1899;155
S;31. jaoskond;2194;932;1286;1806;388
S;Milderid Marokos;2171;1279;893;1783;388
S;Mõrvad põhjas;2669;0;2669;1737;932
S;See ei ole mõrvamüsteerium;2182;1100;1083;1690;492
S;Üks lugu;1680;1137;544;1551;129
S;Ukraina stuudio;1683;697;1055;1528;155
S;Õde Boniface'i mõistatused;1632;1421;234;1528;104
S;Raudne eesriie. Elu Nõukogude okupatsiooni tingimustes;2074;124;1951;1505;569
S;Archie;1695;0;1695;1436;259
S;Pulss;1593;816;847;1412;181
S;Eesti lood;1460;775;708;1227;233
S;Öine rong;1463;0;1463;1204;259
S;Kuninglik skandaal;1621;0;1621;1181;440
S;Tippvormi(s);1262;1143;142;1158;104
S;Dalgliesh;1676;512;1233;1158;518
S;Mullist välja;1344;731;613;1111;233
S;ENSV;1399;0;1399;1088;311
S;Ühe pere muusika;1166;1094;95;1088;78
S;Eurovisiooni laulud;1194;324;870;1065;129
S;Parlament;1324;0;1324;1065;259
